# mrk;kap;num;dos;ind;trd
a1.0.vokalo;a;;gra_fr;NULL;NULL
a1.0.vokalo;a;;gra_fr;NULL;NULL
a1.0.vokalo;a;;gra_fr;NULL;NULL
a1.0.vokalo;a;;gra_en;NULL;NULL
a1.0.vokalo;a;;gra_en;NULL;NULL
a1.0.vokalo;a;;gra_en;NULL;NULL
a1.0.vokalo;a;;gra_de;NULL;NULL
a1.0.vokalo;a;;gra_ru;NULL;NULL
a1.0.vokalo;a;;gra_pl;NULL;NULL
a1.0.vokalo;a;;ekz_5;NULL;NULL
a1.0.vokalo;a;;uv_A;NULL;NULL
a1.0.vokalo;a;;oa_7;NULL;NULL
a1.0BC.FIG;ABC;3;NULL;Anfangsgründe;
a1.0BC.FIG;aboco;3;NULL;Anfangsgründe;
a1.0BC.FIG;ABC;3;NULL;kleines Einmaleins;
a1.0BC.FIG;aboco;3;NULL;kleines Einmaleins;
a1.0BC.alfabeto;ABC;1;NULL;Abc;
a1.0BC.alfabeto;aboco;1;NULL;Abc;
a1.0BC.alfabeto;ABC;1;NULL;Alfabet;
a1.0BC.alfabeto;aboco;1;NULL;Alfabet;
a1.0BC.alfabetumo;ABC;2;NULL;Fibel;
a1.0BC.alfabetumo;aboco;2;NULL;Fibel;
a1.0BC.alfabetumo;ABC;2;NULL;Lesebuch;
a1.0BC.alfabetumo;aboco;2;NULL;Lesebuch;
abajxur.0o.MEB;abaĵuro;;NULL;Lampenschirm;
abak.0o.ARKI;abako;1;NULL;Säulenplatte;
abak.0o.ARKI;abako;1;NULL;Kapitelldeckplatte;
abak.0o.grafika_tabela;abako;3;NULL;Rechentafel;
abak.0o.kalkulilo;abako;2;NULL;Rechenbrett;
abak.0o.kalkulilo;abako;2;NULL;Abakus;
abdik.0i.demisii;abdiki;2;NULL;zurücktreten;
abdik.0i.demisii;abdiki;2;NULL;Amt;sein Amt niederlegen
abdik.0i.demisii;abdiki;2;NULL;demissionieren;
abdik.0i.regxo;abdiki;1;NULL;abdanken;
abdik.0o.demisio;abdiko;2;NULL;Kündigung;
abdik.0o.demisio;abdiko;2;NULL;Demission;
abdik.0o.demisio;abdiko;2;NULL;Rücktritt;
abdik.0o.regxo;abdiko;1;NULL;Abdankung;
abdik.0o.regxo;abdiko;1;NULL;Rücktritt;
abdome.0o.ANA;abdomeno;1;NULL;Unterleib;
abdome.0o.ANA;abdomeno;1;NULL;Bauch;
abdome.0o.ANA;abdomeno;1;NULL;Abdomen;
abdome.0o.ZOO;abdomeno;2;NULL;Unterleib;
abdome.0o.ZOO;abdomeno;2;NULL;Bauch;
abdome.0o.ZOO;abdomeno;2;NULL;Abdomen;
abel.0ejo.HOR;abelejo;;NULL;Bienenstand;
abel.0ino.ZOO;abelino;;NULL;NULL;NULL
abel.0isto.HOR;abelisto;;NULL;Imker;
abel.0o.ZOO;abelo;;NULL;Biene;
abel.0ujo.HOR;abelujo;;NULL;Bienenkorb;
abel.0ujo.HOR;abelujo;;NULL;Bienenstock;
abel.labor0o.ZOO;laborabelo;;NULL;Arbeiterin;Arbeiterin (Biene)
abel.vir0o.ZOO;virabelo;;NULL;Drohne;
abel1.0o.matematikisto;Abelo;;NULL;Abel;
abel1.a0a.diversaj;abela;2;NULL;Kriterium;Abelsches Kriterium
abel1.a0a.diversaj;abela;2;NULL;Abel;von Abel
abel1.a0a.diversaj;abela;2;NULL;Abelsch;
abel1.a0a.grupo;abela;1;NULL;Abelsch;Abelsch (-e Gruppe)
abel1.a0a.grupo;abela;1;NULL;kommutativ;kommutativ (-e Gruppe)
aberac.0i.SCI;aberacii;;NULL;NULL;NULL
aberac.0o.SCI;aberacio;;NULL;Aberration;
abi.0o.BOT;abio;;NULL;Tanne;
abidarm.0o.BUD;Abidarmo;;NULL;Abhidhammapitaka;
abism.0a.rilata;abisma;;NULL;NULL;NULL
abism.0o.diferenco;abismo;3;NULL;Abgrund;
abism.0o.profundo;abismo;1;NULL;Tiefe;
abism.0o.profundo;abismo;1;NULL;Abgrund;
abism.0o.ruinigxo;abismo;2;NULL;Abgrund;
abjxur.0i.KOMUNE;abĵuri;;NULL;abschwören;
abjxur.0i.KOMUNE;abĵuri;;NULL;widerrufen;
ablaci.0agxo.AST;ablacia aĝo;;NULL;NULL;NULL
ablaci.0o.AST;ablacio;5;NULL;Ablation;
ablaci.0o.AST;ablacio;5;NULL;Abtrag;
ablaci.0o.AST;ablacio;5;NULL;Abschmelzen;
ablaci.0o.GEOL;ablacio;1;NULL;Ablation;
ablaci.0o.GEOL;ablacio;1;NULL;Abtrag;
ablaci.0o.GEOL;ablacio;1;NULL;Abschmelzen;
ablaci.0o.MED;ablacio;4;NULL;Ablation;
ablaci.0o.MED;ablacio;4;NULL;Abtrag;
ablaci.0o.MED;ablacio;4;NULL;Abschmelzen;
ablaci.0o.glacio;ablacio;2;NULL;Ablation;
ablaci.0o.glacio;ablacio;2;NULL;Abtrag;
ablaci.0o.glacio;ablacio;2;NULL;Abschmelzen;
ablaci.0o.rokoj;ablacio;3;NULL;Ablation;
ablaci.0o.rokoj;ablacio;3;NULL;Abtrag;
ablaci.0o.rokoj;ablacio;3;NULL;Abschmelzen;
aboc.0o.alfabeto;aboco;;NULL;Abc;
aboc.0o.alfabeto;aboco;;NULL;Alfabet;
abol.0i.FIG;aboli;2;NULL;aufheben;
abol.0i.FIG;abolicii;2;NULL;aufheben;
abol.0i.FIG;aboli;2;NULL;abschaffen;
abol.0i.FIG;abolicii;2;NULL;abschaffen;
abol.0i.FIG;aboli;2;NULL;einstellen;einstellen (abschaffen)
abol.0i.FIG;abolicii;2;NULL;einstellen;einstellen (abschaffen)
abol.0i.JUR;aboli;1;NULL;aufheben;
